Search Name,Band Name,URL,Genre,Themes,Country,Location,Status,Formed
Anarya,No match found,,,,,,,
Anaxarta,No match found,,,,,,,
Anborn,No match found,,,,,,,
Anbrion,No match found,,,,,,,
Anc,No match found,,,,,,,
Anca,No match found,,,,,,,
Ancalagon,Ancalagon,https://www.metal-archives.com/bands/Ancalagon/2453,Thrash Metal,"Social themes, Problems in society",France,"Paris, Île-de-France",N/A,1989
Ancalagon,Ancalagon,https://www.metal-archives.com/bands/Ancalagon/6950,Pagan Metal,N/A,France,"Paris, Île-de-France",N/A,2000
Ancalagon,Ancalagon,https://www.metal-archives.com/bands/Ancalagon/3540394359,Black Metal,"Death, Nordic Shamanism, Nature worship (early); Cosmic consciousness (later)",United States,"Atlanta, Georgia",N/A,2008
Ancalagon,Ancalagon,https://www.metal-archives.com/bands/Ancalagon/3540414018,Black Metal,N/A,United States,"New Britain, Connecticut",N/A,2014
Ancalagon,Ancalagon,https://www.metal-archives.com/bands/Ancalagon/3540428983,Melodic Black Metal,"Tolkien, Darkness",United States,"Rochester, New York",N/A,2013
Ancalima,No match found,,,,,,,
Ancalime,No match found,,,,,,,
Ancalimon,No match found,,,,,,,
Ancient Mariner,No match found,,,,,,,
Ancrene Wissee,No match found,,,,,,,
Anda,No match found,,,,,,,
Andafalassë,No match found,,,,,,,
Andafangar,No match found,,,,,,,
Andaith,No match found,,,,,,,
Andamacil,No match found,,,,,,,
Andave,No match found,,,,,,,
Andesalke,No match found,,,,,,,
Andnl,No match found,,,,,,,
Ando,No match found,,,,,,,
Ando Lómen,No match found,,,,,,,
Andor,No match found,,,,,,,
Andram,No match found,,,,,,,
Andrast,No match found,,,,,,,
Andrath,Andrath,https://www.metal-archives.com/bands/Andrath/3540472978,Melodic Death Metal,"Personal struggles, Death, Sorrow",Croatia,"Šibenik, Šibenik-Knin",N/A,N/A
Andreth,No match found,,,,,,,
Andriel,No match found,,,,,,,
Andril,No match found,,,,,,,
Androg,No match found,,,,,,,
Androth,No match found,,,,,,,
André Morell,No match found,,,,,,,
André Sogliuzzo,No match found,,,,,,,
Anducal,No match found,,,,,,,
Anduin,No match found,,,,,,,
Andunie,No match found,,,,,,,
Anduril,Anduril,https://www.metal-archives.com/bands/Anduril/3540492064,Power Metal,Instrumental,Mexico,N/A,N/A,N/A
Andustar,No match found,,,,,,,
Andvir,No match found,,,,,,,
Andwise Roper,No match found,,,,,,,
Andúne,No match found,,,,,,,
Anemones,No match found,,,,,,,
Anfalas,No match found,,,,,,,
Anfangrim,No match found,,,,,,,
Anfauglir,Anfauglir,https://www.metal-archives.com/bands/Anfauglir/3540535157,Raw Black Metal,"Magic, War, National Socialism, Spirituality, Occultism",Chile,Santiago,N/A,2019
Anfauglir,Anfauglir,https://www.metal-archives.com/bands/Anfauglir/3540259884,Symphonic Black Metal,J.R.R. Tolkien,United States,"Newtown, Connecticut",N/A,2004
Anfauglira,No match found,,,,,,,
